Repo,HWD,GS,ED,LDV,Total
mpetazzoni_ttorrent,77,65,13,96,251
Graphify_graphify,0,41,4,0,45
jbake-org_jbake,0,123,7,0,130
andrewgaul_s3proxy,11,51,2,1,65
apache_storm,1176,2208,330,628,4342
palominolabs_jvm-ssh-groovy-shell,0,0,0,0,0
jai-imageio_jai-imageio-jpeg2000,46,225,21,246,538
Cube-Space_Yamler,5,11,0,0,16
lumifyio_lumify,0,681,103,0,784
apache_incubator-reef,0,773,177,2,952
linkedin_Cubert,0,541,37,0,578
renepickhardt_generalized-language-modeling-toolkit,20,0,1,0,21
NLPchina_nlp-lang,15,38,6,0,59
kkapelon_java-testing-with-spock,0,0,0,0,0
jordw_heftydb,0,27,15,0,42
prometheus_jmx_exporter,5,2,0,0,7
OhadR_oAuth2-sample,1,1,0,0,2
ethereum_ethereumj,0,297,76,3,376
ptgoetz_storm-hbase,0,9,0,0,9
tehmou_rx-android-architecture,0,26,2,0,28
martinpaljak_GlobalPlatform,0,32,2,0,34
graphaware_neo4j-reco,3,2,0,0,5
gosu-lang_gosu-lang,0,1203,304,22,1529
google_closure-compiler,1,628,281,13,923
SahaginOrg_sahagin-java,50,33,11,52,146
looly_hutool,0,614,124,25,763
SoftInstigate_restheart,0,359,29,0,388
spotify_trickle,4,7,5,20,36
chanedi_QuickProject,0,193,1,0,194
reds-heig_logisim-evolution,1,1670,259,7,1937
AndroidBootstrap_android-bootstrap,0,0,0,0,0
wildfly-security_wildfly-elytron,295,835,130,735,1995
tesseradata_RHIPE,14,106,0,2,122
Azure_azure-storage-android,0,915,76,0,991
benhysell_V.FlyoutTest,0,348,2,0,350
WhisperSystems_BitHub,1,3,0,17,21
ArcBees_gwtquery-tooltip-plugin,7,18,3,7,35
JCTools_JCTools,38,405,6,2,451
dev9com_parallel-webtest,0,15,0,0,15
sharneng_gm4java,9,6,1,27,43
cloudera_spark-dataflow,0,0,0,0,0
bedrin_jdbc-sniffer,37,99,25,44,205
petitparser_java-petitparser,14,28,1,291,334
mulesoft_jaxrs-to-raml,6,13,7,15,41
Conductor_kangaroo,0,13,0,0,13
square_burst,0,22,0,0,22
grpc_grpc-java,0,725,232,1,958
ObsidianBox_Obsidian,0,13,0,0,13
highsource_jaxb2-annotate-plugin,1,30,0,2,33
rjenkins_ursus,7,10,0,1,18
skroutz_elasticsearch-analysis-turkishstemmer,2,12,0,0,14
DeemOpen_zkui,5,7,0,0,12
ceskaexpedice_kramerius,1,1117,130,2,1250
xaguzman_pathfinding,0,4,0,0,4
elastic_elasticsearch,3,13352,5003,28,18386
mono_sharpen,0,19,5,0,24
englishtown_vertx-jersey,15,49,2,6,72
caoxinyu_RedisClient,0,238,4,0,242
jooby-project_jooby,112,270,28,290,700
ZheYuan_Mario,0,5,0,0,5
gjoseph_BarbaryWatchService,0,0,0,0,0
openhab_jmdns,18,92,7,99,216
InstantWebP2P_node-android,0,268,15,0,283
mulesoft_raml-jaxrs-codegen,9,8,0,1,18
augustt198_lumen,23,23,11,64,121
spring-projects_spring-test-htmlunit,0,2,0,0,2
ymback_NGA-CLIENT-VER-OPEN-SOURCE,0,177,26,0,203
holgerbrandl_r4intellij,0,234,8,3,245
wso2_balana,67,497,46,151,761
sys1yagi_indirect-injector,0,3,0,0,3
jbossdemocentral_bpms-travel-agency-demo,0,15,4,0,19
Pragmatists_junitparams,12,19,0,1,32
OpenHFT_Koloboke,0,98,2,2,102
zhang-xzhi_simplehbase,0,233,4,0,237
wildfly-extras_wildfly-camel,56,175,3,14,248
jivesoftware_jive-selenium-pages-framework,7,16,3,15,41
GluuFederation_oxTrust,81,327,19,116,543
SonarSource_sonarqube,0,1512,880,8,2400
NLPchina_elasticsearch-sql,45,25,15,111,196
aporter_coursera-android,0,119,0,0,119
novoda_simple-easy-xml-parser,0,28,3,0,31
micromata_javaapiforkml,0,56,32,0,88
sd4324530_fastweixin,59,78,15,2,154
Steveice10_MCProtocolLib,7,74,10,0,91
TrsstProject_trsst,0,31,0,0,31
squeek502_SpiceOfLife,4,129,12,0,145
sendgridlabs_vertx-scheduler,0,0,0,0,0
CaptainBern_Reflection,3,693,9,34,739
Unidata_awips2,0,5016,458,14,5488
eclipse_californium.scandium,0,0,0,0,0
percolate_caffeine,0,1,0,0,1
tomitribe_crest,26,196,6,12,240
yahoo_xpath_proto_builder,6,94,0,1,101
alexholmes_hiped2,0,215,0,1,216
OpenClinica_OpenClinica,0,1594,317,0,1911
pmd_pmd-eclipse-plugin,0,548,32,1,581
TouK_sputnik,0,16,7,0,23
cloudfoundry_java-buildpack-auto-reconfiguration,0,0,0,0,0
metricminer-msr_metricminer2,18,1,4,92,115
mooso_azure-tables-hadoop,0,11,0,0,11
tesseract4java_jtesseract,0,28,0,0,28
HubSpot_Rosetta,0,5,3,0,8
Netflix_ocelli,0,21,1,0,22
GlenKPeterson_fp4java7,5,59,8,252,324
uwolfer_gerrit-rest-java-client,38,52,24,43,157
micyeung_Sunshine,0,74,0,0,74
imglib_imglib2,125,127,39,373,664
OpenTreeMap_OpenTreeMap-Android,0,39,6,1,46
ReactiveX_RxJavaMath,0,1,0,0,1
coheigea_testcases,0,19,0,0,19
ToastShaman_dropwizard-auth-jwt,1,1,0,0,2
mklemm_jaxb2-rich-contract-plugin,0,49,8,0,57
camunda_camunda-bpm-assert,0,0,0,0,0
CloudSlang_cloud-slang,0,149,44,0,193
mikeberger_borg_calendar,0,150,44,17,211
thekrakken_java-grok,0,9,0,0,9
strongloop_loopback-sdk-android,0,21,0,0,21
sindicetech_siren,127,227,20,138,512
enioka_jqm,1,34,30,1,66
evant_rxloader,0,1,0,0,1
GrammarViz2_grammarviz2_src,24,43,2,6,75
OutSystems_OutSystemsNow-Android,0,400,43,3,446
TwidereProject_Twidere-Android,0,413,6,0,419
hmsonline_storm-cassandra-cql,7,36,0,0,43
lumifyio_securegraph,38,140,31,507,716
OfficeDev_ews-java-api,0,1527,121,0,1648
PSDev_FormValidations,0,1,0,0,1
bulenkov_iconloader,0,585,1,1,587
dswarm_dswarm,0,107,61,0,168
apache_incubator-blur,4,1615,166,0,1785
spotify_helios,0,157,58,0,215
openscore_score-actions,30,10461,56,2,10549
cloud-software-foundation_c5-replicator,0,37,9,0,46
jphp-compiler_jphp,0,518,142,0,660
ngageoint_anti-piracy-android-app,0,76,1,0,77
apache_struts,666,846,166,1596,3274
triAGENS_elasticsearch-river-arangodb,0,0,0,0,0
google_guava,931,3246,576,8904,13657
wiztools_stagen,0,5,2,0,7
danmbox_briss2,8,25,1,14,48
wgybzbrobot_sentiment-search,0,47,4,0,51
eXparity_hamcrest-date,0,341,12,99,452
shilad_wikibrain,14,537,91,106,748
mimno_Mallet,0,202,42,0,244
continuuity_netty-http,0,0,0,0,0
takari_takari-smart-builder,0,1,0,0,1
jmeter-maven-plugin_jmeter-maven-plugin,34,2,0,107,143
sailorgeoffrey_ddp-client-java,0,4,1,0,5
structurizr_java,0,17,11,0,28
puniverse_capsule,0,16,1,0,17
tuenti_SmsRadar,0,1,0,0,1
vbauer_avconv4java,0,402,0,1,403
vinhkhuc_jcrfsuite,6,7,0,6,19
tech-advantage_sonar-gerrit-plugin,15,40,2,7,64
mapzen_open,0,136,7,0,143
apache_knox,557,792,152,904,2405
igniterealtime_Openfire,403,515,196,1957,3071
danieloeh_AntennaPodSP,0,294,10,0,304
sword-org_wechat4j,0,12,4,0,16
jdereg_n-cube,0,2,0,0,2
stickfigure_gwizard,0,29,0,0,29
ksoichiro_Android-ObservableScrollView,0,31,1,0,32
mapzen_on-the-road,0,18,0,0,18
consulo_consulo-dotnet,7,110,25,30,172
tomaswolf_gerrit-gitblit-plugin,9,17,1,2,29
SEL-columbia_dristhi,0,807,30,4,841
mcharmas_shoppinglist-clean-architecture-example,0,5,0,0,5
syncany_syncany,0,141,69,0,210
ReactiveCouchbase_ReactiveCouchbase-play,0,10,0,0,10
aparapi_aparapi,3,485,2,4,494
Kurento_kurento-java,0,326,29,1,356
couchbase_couchbase-lite-java,0,456,39,0,495
wuic_wuic,0,122,55,2,179
weefbellington_screenplay,0,18,1,0,19
owncloud_android-library,0,106,0,0,106
AzureAD_azure-activedirectory-library-for-java,19,44,7,4,74
seagate_kinetic-java,219,1050,36,340,1645
KleeGroup_vertigo,57,50,26,690,823
Flow_nbt,13,15,2,2,32
BjoernKW_ZenQuery,0,0,0,0,0
icode_ameba,0,158,3,6,167
iluwatar_java-design-patterns,392,78,13,92,575
apache_servicemix,1,9,0,0,10
libgdx_ashley,0,37,1,0,38
podcastpedia_podcastpedia-web,0,7,0,0,7
jaibeermalik_elasticsearch-tutorial,0,51,2,0,53
HubSpot_jinjava,0,147,35,4,186
zafarkhaja_jsemver,15,21,0,5,41
spring-projects_spring-sync,0,0,0,0,0
evrythng_evrythng-java-sdk,0,0,0,0,0
dschulten_hydra-java,8,44,4,1,57
WhisperSystems_PushServer,1,4,1,16,22
opendatasoft_elasticsearch-plugin-geoshape,0,14,0,0,14
google_firing-range,0,0,0,0,0
ic3fox_jawr-main-repo,219,293,67,268,847
red5_red5-websocket,4,24,2,1,31
vmware_thinapp_factory,0,228,51,0,279
tkurz_sesame-vocab-builder,5,0,0,0,5
opendaylight_controller,1,312,132,3,448
abwaters_cryptsy-api,0,699,0,0,699
google_google-api-java-client,26,125,0,11,162
audit4j_audit4j-core,45,78,4,19,146
red5_red5-client,0,5,0,0,5
OhmData_c5-replicator,0,37,9,0,46
fhussonnois_storm-trident-elasticsearch,0,41,0,0,41
OpenHFT_Chronicle-Bytes,18,39,6,126,189
matiwinnetou_spring-soy-view,44,13,4,0,61
jbossdemocentral_brms-coolstore-demo,0,0,1,0,1
blackberry_Krackle,0,16,1,0,17
jmockit_jmockit1,0,196,3,0,199
mendix_RestServices,0,74,5,17,96
TheLQ_PircBotX,0,192,6,0,198
tim-group_test-driven-detectors4findbugs,4,6,0,0,10
techdev-solutions_trackr-backend,0,6,1,0,7
tokuhirom_avans,0,99,0,0,99
Microsoft_AppInsights-Java,0,347,33,0,380
surech_halarious,0,2,0,0,2
sdeleuze_opensnap,0,0,0,0,0
snazy_ohc,18,86,11,63,178
ContinuumIO_nutchpy,0,1,0,0,1
blackberry_KaBoom,0,4,0,0,4
noskovd_spring-data-orient,0,2,0,0,2
MesquiteProject_MesquiteCore,2,3096,582,1,3681
giovibal_vertx-mqtt-broker-mod,0,35,2,0,37
opentripplanner_OpenTripPlanner,0,973,239,30,1242
orientechnologies_orientdb-etl,0,0,1,0,1
droidstealth_droid-stealth,0,58,8,0,66
bitcoin-solutions_multibit-hardware,0,2405,8,0,2413
highsource_jsonix-schema-compiler,0,187,8,0,195
jimmoores_quandl4j,4,7,15,20,46
krschultz_AndroidWeatherBuoyDemo,0,1,0,0,1
clarkparsia_stardog-examples,0,2,0,0,2
mozilla_j2me.js,401,1921,244,366,2932
edx_edx-app-android,0,503,57,3,563
w-shackleton_android-netspoof,0,54,2,0,56
TNG_jgiven,0,126,6,0,132
reinert_requestor,90,136,77,276,579
jenjinstudios_jenjin,0,27,7,0,34
Azure_azure-sdk-for-java,0,0,0,0,0
IKCAP_wings,0,147,28,0,175
eclipse_smarthome,0,2570,373,9,2952
yoojia_FireEye,0,0,0,0,0
sromku_android-simple-storage,0,19,1,0,20
Jimmy-Shi_bean-query,11,2,1,7,21
MyRobotLab_myrobotlab,332,1856,104,348,2640
googlesamples_android-Camera2Basic,0,2,0,0,2
darcy-framework_darcy-ui,18,14,4,3,39
googlesamples_android-PermissionRequest,0,9,0,0,9
bitcoin-solutions_multibit-website,0,4,0,0,4
hypereddie_HippyJava,1,5,0,7,13
optimaize_language-detector,31,2,3,52,88
zhangkaitao_shiro-example,0,22,2,0,24
andsel_moquette,77,76,14,29,196
jabrena_livingrobots,1,189,21,0,211
KengoTODA_what-is-maven,0,0,0,0,0
real-logic_Aeron,0,1113,114,2,1229
caskdata_tephra,3,295,22,0,320
apache_tajo,700,6178,352,1922,9152
otros-systems_otroslogviewer,0,383,30,0,413
locationtech_udig-platform,0,4241,384,79,4704
searchisko_elasticsearch-river-jira,39,34,5,14,92
serenity-bdd_serenity-jbehave,0,20,0,0,20
bodiam_markdown-to-asciidoc,0,1,0,0,1
uPhyca_GAlette,0,7,0,0,7
HubSpot_Singularity,0,143,111,0,254
thelinmichael_spotify-web-api-java,6,220,10,15,251
TestFX_TestFX,0,17,5,0,22
google_identity-toolkit-java-client,8,11,0,2,21
paukiatwee_budgetapp,30,14,4,11,59
SteveyO_Hue-Emulator,0,21,5,0,26
bruno-medeiros_DDT,1,1466,144,4,1615
arquillian_arquillian-cube,92,234,34,133,493
odiszapc_nginx-java-parser,11,82,1,3,97
adjust_android_sdk,0,79,27,0,106
ExactTarget_fuel-java,0,1,7,0,8
JakeWharton_Telecine,0,0,1,0,1
ceph_cephfs-hadoop,0,27,0,0,27
xtreemfs_babudb,0,158,20,0,178
apache_airavata,343,5599,114,178,6234
cathive_sass-java,0,15,0,0,15
ArtificerRepo_artificer,0,225,73,0,298
squarespace_jersey2-guice,0,20,0,0,20
arangodb_arangodb-java-driver,245,162,59,628,1094
mini2Dx_mini2Dx,0,171,102,0,273
juniversal_jsimple,0,89,5,2,96
carymrobbins_intellij-haskforce,0,108,17,0,125
eseifert_gral,0,58,27,0,85
numenta_htm.java,0,78,23,0,101
googlegenomics_dataflow-java,16,71,4,0,91
HubSpot_live-config,0,1,0,0,1
Netflix_Raigad,0,55,1,0,56
marklogic_java-client-api,0,323,185,0,508
eclipsesource_J2V8,66,39,11,70,186
chiehmin_MinMinGuard,0,36,2,0,38
JasonRuckman_sidney,12,193,10,23,238
alaisi_postgres-async-driver,0,14,2,7,23
squeek502_ASMHelper,0,0,0,0,0
google_gcm,0,106,0,0,106
vogellacompany_eclipse4book,4,6,0,2,12
TheMCPEGamer_Dragonet,0,426,7,1,434
stephanenicolas_injectview,0,69,0,0,69
bkimminich_kata-tcg,0,0,0,2,2
hcoles_QuickBuilder,8,5,1,22,36
roikku_swift-explorer,0,24,5,0,29
stuartgunter_dropwizard-cassandra,22,6,1,0,29
outbrain_gruffalo,2,0,0,0,2
fredsa_gwt-dnd,0,18,2,0,20
kennycason_kumo,54,18,3,0,75
tsiemens_pathfinder-toolkit,0,117,13,0,130
google_iosched,0,0,0,0,0
AndroidHooker_hooker,0,32,0,0,32
yahoo_artifactory_ssh_proxy,0,12,2,0,14
oxo42_stateless4j,10,8,3,8,29
RichardWarburton_honest-profiler,0,184,9,0,193
Plaid_plaid-java,127,3476,14,105,3722
BuiltBrokenModding_ICBM,0,322,11,0,333
highsource_jaxb2-basics,20,127,31,57,235
MilkBowl_VaultAPI,0,1,0,0,1
Cascading_fluid,0,22,0,0,22
casidiablo_multidex,0,11,0,0,11
tsagi_JekyllForAndroid,0,120,4,0,124
wiztools_rest-client,0,52,12,0,64
BoltsFramework_Bolts-Java,0,0,0,0,0
ReactiveX_RxJava,0,66,54,4,124
RestExpress_RestExpress-Examples,0,19,1,0,20
mapzen_mapzen-android-demo,0,136,7,0,143
naver_pinpoint,2,2192,529,0,2723
SpringOne2GX-2014_microservice-security,0,0,0,0,0
virgo47_javasimon,135,104,22,340,601
yfpeng_pengyifan-commons,12,12,0,10,34
cping_RipplePower,0,3663,395,47,4105
pwittchen_NetworkEvents,0,3,0,0,3
sulewicz_springlayout,0,17,0,0,17
LapisBlue_Commons,0,44,0,0,44
googlemaps_google-maps-services-java,0,62,12,0,74
seleniumQuery_seleniumQuery,42,270,14,1461,1787
chenlb_mmseg4j-solr,0,0,0,0,0
datacleaner_DataCleaner,836,566,333,1188,2923
raulhaag_MiMangaNu,0,164,11,1,176
Putnami_putnami-web-toolkit,0,149,37,0,186
Stratio_stratio-ingestion,0,120,0,0,120
c4fcm_CLIFF,23,64,1,22,110
Appendium_objectlabkit,51,67,13,152,283
teamed_qulice,21,10,1,2,34
google_acai,2,1,0,0,3
mdeverdelhan_ta4j,94,13,23,353,483
bydavy_android-number-morphing,0,4,0,0,4
takari_takari-lifecycle,22,37,1,8,68
sjamesr_jfreesane,0,4,5,0,9
GoogleCloudPlatform_appengine-pipelines,0,72,10,0,82
caelum_vraptor-panettone,28,18,4,10,60
Stratio_streaming-cep-engine,15,64,9,5,93
VHAINNOVATIONS_InfoButtons-182,0,285,16,0,301
bytedeco_javacpp,56,23,4,153,236
fiji_Trainable_Segmentation,34,78,0,45,157
apache_incubator-samoa,14,112,32,72,230
SudoPlayGames_Joise,0,15,3,0,18
OpenTOSCA_container,277,1182,92,189,1740
path_android-priority-jobqueue,0,55,1,0,56
onepf_OPFPush,0,101,4,0,105
ksfzhaohui_gameserver,4,18,0,6,28
vert-x3_vertx-metrics,12,8,0,66,86
yccheok_jstock,0,129,29,1,159
fge_grappa,0,9,3,0,12
IBM-Bluemix_todo-apps,0,0,1,0,1
guardianproject_ChatSecureAndroid,0,826,29,0,855
bakerframework_baker-android,0,199,4,0,203
wbaumann_SmartReceiptsLibrary,0,595,52,0,647
KittehOrg_KittehIRCClientLib,35,237,14,234,520
linkedin_gobblin,1,4417,350,3,4771
ZK-1931_javazab,0,7,8,0,15
astefanutti_camel-cdi,0,12,2,0,14
robert-bor_aho-corasick,10,3,0,3,16
RichardWarburton_java-8-lambdas-exercises,18,28,0,3,49
PhonyTive_astivetoolkit,23,52,10,23,108
ColdSauce_Captor,0,58,1,0,59
softlayer_softlayer-java,11,2038,110,14,2173
Esri_solutions-geoevent-java,1,61,5,0,67
tabulapdf_tabula-java,38,18,5,55,116
Netflix_s3mper,0,2,0,0,2
HotswapProjects_HotswapAgent,163,362,102,405,1032
TEAMMATES_repo,0,761,177,0,938
gid15_jpcsp,493,6903,198,1179,8773
tdunning_t-digest,22,12,0,1,35
vanita5_twittnuker,0,431,7,0,438
raphaeljolivet_java2typescript,27,27,4,10,68
sdbg_sdbg,0,199,12,1,212
FenixEdu_fenixedu-academic,419,3819,664,7510,12412
copper-engine_copper-engine,0,62,21,1,84
rocketscience-projects_javaslang,0,104,58,57,219
cymcsg_UltimateAndroid,12,1294,21,0,1327
simpligility_android-ndk-maven-plugin,6,27,1,5,39
square_javapoet,0,20,5,2,27
l3nz_ObjectiveSync,1,12,0,0,13
danieloeh_EinschlafenPodcastAndroidApp,0,294,10,0,304
migzai_irc-api,51,25,12,65,153
commons-rdf_commons-rdf,3,41,1,22,67
real-logic_Agrona,0,170,2,0,172
ksoichiro_SimpleAlertDialog-for-Android,0,12,0,0,12
EugeneKay_subsonic,0,0,0,0,0
getsentry_raven-java,0,688,55,0,743
rover12421_ShakaApktool,0,1466,0,1,1467
nutzam_nutzwx,12,16,2,31,61
Microsoft_AppInsights-Android,0,4,3,1,8
ebay_oink,6,5,2,57,70
graf-abolmasov_digitalocean-teamcity-plugin,0,4,0,0,4
martinpaljak_GlobalPlatformPro,0,32,2,0,34
kuenishi_presto-riak,0,20,1,0,21
Netflix-Skunkworks_WSPerfLab,0,3,0,0,3
johnmartel_javaccPlugin,0,33,1,0,34
smola_galimatias,12,9,0,129,150
Jaspersoft_jrs-rest-java-client,0,176,28,0,204
kuali_kc,45,3744,578,22,4389
google_guice,170,243,95,624,1132
ruediste1_btrbck,0,6,5,0,11
Qkyrie_Twitch,0,18,0,1,19
sk89q_Eduardo,0,0,0,0,0
nidi3_raml-tester,43,39,3,107,192
tracee_tracee,6,42,2,61,111
chanjarster_weixin-java-tools,89,111,13,60,273
exteso_alf.io,0,209,115,0,324
OpenHFT_hftc,0,98,2,2,102
SpongePowered_Sponge,0,2211,62,3,2276
barterli_barterli_android,0,970,33,0,1003
finn-no_cassandra-hadoop,0,24,0,0,24
FlexTradeUKLtd_jfixture,102,9,4,49,164
nosceon_titanite,0,52,2,1,55
naver_yobi,0,146,38,2,186
mulesoft-labs_rhinodo,11,4,0,1,16
release-engineering_pom-manipulation-ext,89,123,34,19,265
vert-x3_vertx-codegen,54,42,27,510,633
AdoptOpenJDK_mjprof,0,27,1,0,28
247687009_soa,0,8,0,0,8
nhnopensource_volley-extensions,0,37,3,0,40
Netflix_dyno,0,32,13,0,45
jOOQ_jOOL,0,4,92,8,104
super-csv_super-csv,0,121,2,0,123
dkharrat_NexusData,2,27,5,0,34
ReactiveX_RxAndroid,0,0,0,0,0
yinglovezhuzhu_bitmaploader,0,11,0,0,11
recommenders_rival,0,191,7,0,198
OfficeDev_Office-365-SDK-for-Android,0,44,4,0,48
twitter_cloudhopper-commons,21,162,8,2,193
searchisko_elasticsearch-river-sysinfo,20,9,4,11,44
orchestrate-io_orchestrate-java-client,0,0,0,0,0
ObeoNetwork_UML-Designer,0,181,5,21,207
PasaLab_Tachyon-Perf,0,7,0,0,7
PaNaVTEC_Clean-Contacts,0,8,2,0,10
bodar_totallylazy,0,252,34,23,309
addthis_hydra,12,180,34,4,230
aerospike_aerospike-loader,0,31,2,0,33
nutzam_ssdb4j,0,117,0,0,117
jenkinsci_acceptance-test-harness,0,127,20,0,147
sanity_quickml,125,130,28,133,416
swagger-api_swagger-parser,136,21,6,48,211
openMF_android-client,0,511,25,0,536
AzureAD_azure-activedirectory-library-for-android,0,309,24,19,352
Stratio_flume-ingestion,0,120,0,0,120
hyperic_hq,0,2873,486,8,3367
Genymobile_genymotion-binocle,0,10,0,0,10
s-u_rJava,0,90,0,0,90
dpreussler_jodamoblog,0,0,0,0,0
holyeye_spring-trace,0,18,0,0,18
OrbitzWorldwide_consul-client,8,107,16,70,201
orctom_was-maven-plugin,1,2,0,0,3
spring-io_sagan,0,31,13,0,44
sonyxperiadev_gerrit-events,35,110,4,25,174
mybatis_ibatis-2,55,29,19,272,375
DroidPlanner_DroneKit-Android,0,2340,37,0,2377
neo4j-contrib_cypher-dsl,0,98,37,0,135
nhl_link-rest,48,450,68,277,843
sequenceiq_periscope,0,19,7,0,26
bitcoin-solutions_multibit-hd,0,342,156,0,498
kenshoo_freemarker-online,0,0,0,0,0
SeanTater_uncc2014watsonsim,0,19,0,0,19
pusher_pusher-websocket-java,0,9,13,0,22
Raizlabs_Broker,0,0,0,0,0
OAuth-Apis_apis,50,17,5,13,85
google_closure-stylesheets,417,68,73,665,1223
paksv_teamcity-azure-plugin,0,1,0,0,1
ArcBees_gwtquery,0,228,7,7,242
unitsofmeasurement_unit-api,2,37,5,30,74
reactive-streams_reactive-streams-jvm,0,16,0,0,16
filoghost_HolographicDisplays,0,47,9,1,57
dvorka_keepass2-to-keepassx,0,0,0,0,0
relayr_android-sdk,0,0,0,0,0
real-logic_simple-binary-encoding,0,113,14,0,127
hal_circuit,22,44,5,12,83
Raizlabs_DBFlow,0,0,0,0,0
gwizard_gwizard,0,29,0,0,29
primecloud-controller-org_primecloud-controller,28,164,105,0,297
ymcao_fullplayer,0,328,0,0,328
