Repo,HWD,GS,ED,LDV,Total
hawkular_hawkular-metrics,0,147,15,0,162
silb_shiro-jersey,0,1,0,0,1
ampm_douban-fm-sdk,0,113,8,0,121
elastic_elasticsearch-analy,0,0,0,0,0
jelkosz_Kanbanik,0,30,20,2,52
nordicway_moji,0,1,0,0,1
marschall_threeten-jpa,2,69,8,0,79
ulyn_eos,0,88,13,0,101
oswetto_Loboevolution,480,1346,199,1835,3860
serso_android-checkout,0,32,12,0,44
Stratio_stratio-deep,0,109,10,0,119
bryanreinero_Firehose,0,13,0,1,14
outbrain_Aletheia,0,0,0,0,0
cglib_cglib,33,124,13,54,224
TDesjardins_GWT-OL3-Playground,118,9,37,30,194
MSOpenTech_azure-activedirectory-library-for-android,0,309,24,19,352
googlesamples_android-JobScheduler,0,13,0,0,13
fluo-io_fluo,158,224,36,367,785
ctron_package-drone,0,446,64,0,510
ReactiveX_RxNetty,0,87,12,0,99
sequenceiq_sequenceiq-samples,3,13,0,0,16
﻿﻿square_moshi,0,0,0,0,0
idok_eslint-plugin,0,32,1,0,33
telefonicaid_fiware-cygnus,0,143,14,0,157
libgdx_gdx-ai,0,84,16,1,101
graphaware_neo4j-timetree,0,0,0,0,0
googlesamples_android-ElevationDrag,0,10,0,0,10
groupon_odo,0,198,7,0,205
LucidWorks_spark-solr,0,14,0,0,14
Talend_tcommon-studio-se,0,3434,961,14,4409
serenity-bdd_serenity-core,388,396,134,2456,3374
wikimedia_search-highlighter,40,33,2,8,83
EgorKulikov_idea-chelper,0,28,6,0,34
vokalinteractive_VolleyBall,0,19,0,0,19
ptgoetz_storm-hdfs,0,18,0,0,18
bodar_utterlyidle,0,305,27,4,336
project-flink_flink-graph,0,0,0,0,0
OPENNETWORKINGLAB_onos,0,4247,1155,2,5404
riven8192_LibStruct,0,91,1,0,92
Label305_Stan-for-Android,0,0,0,0,0
Comcast_cats,0,0,0,0,0
pac4j_pac4j,286,492,95,134,1007
google_u2f-ref-code,0,26,7,0,33
michaelwittig_java-q,6,26,6,58,96
mariuswatz_modelbuilderMk2,13,660,4,24,701
SAP_cloud-dirigible,0,2070,47,0,2117
neokree_MaterialNavigationDrawer,0,16,1,0,17
Stratio_stratio-meta,0,0,0,0,0
Stratio_crossdata,0,0,0,0,0
andytill_erlyberly,0,11,3,0,14
spring-cloud_spring-cloud-cli,2,3,0,0,5
federicoiosue_Omni-Notes,0,76,13,1,90
naver_ngrinder,0,90,37,0,127
dsyer_spring-security-angular,0,0,0,0,0
SnippingToolPlusPlus_SnippingToolPlusPlus,0,82,7,2,91
rpau_walkmod-core,105,34,15,131,285
schema-repo_schema-repo,20,33,0,21,74
rundeck_rundeck,0,1137,91,0,1228
davityle_ngAndroid,0,88,9,0,97
Evolveum_midpoint,0,0,0,0,0
Kixeye_janus,0,14,0,0,14
headissue_cache2k,0,188,26,0,214
shouldit_android-proxy,0,0,0,0,0
seyhanp_seyhan,0,72,129,0,201
SurveyMan_SurveyMan,85,57,25,20,187
pivotalsoftware_pivotal-samples,0,4,0,0,4
peholmst_vaadin4spring,0,5,0,0,5
neo4j-contrib_graph-collections,34,77,10,65,186
digidotcom_XBeeJavaLibrary,266,58,67,60,451
jvirtanen_nassau,17,18,3,10,48
benjiman_expressions,0,11,0,0,11
Netflix_Prana,0,5,0,0,5
bitfireAT_cadroid,0,0,0,0,0
saulmm_Material-Movies,0,29,0,0,29
lesaint_damapping,15,50,18,122,205
hazelcast_hazelcast-simulator,0,65,21,0,86
manuzhang_storm-benchmark,25,206,0,0,231
apache_olingo-odata2telefonicaid_fiware-cygnus,0,0,0,0,0
rmagen_elastic-gremlin,5,11,0,0,16
lilicoding_soot-infoflow-android-iccta,0,55,3,1,59
openhab_openhab2,2231,19872,495,3512,26110
artem-zinnatullin_android-wail-app,0,54,4,0,58
GlowstoneMC_Glowstone,0,262,46,0,308
mayconbordin_streaminer,0,67,2,6,75
thechunknetwork_RedisBungee,0,11,1,0,12
xtext_seven-languages-xtext,0,3999,15,0,4014
cloudera_cm_ext,0,62,4,0,66
timolson_cointrader,63,453,47,1500,2063
SanderGielisse_Enderstone,0,50,17,2,69
DawnFire-Realms_CommunityBridge,0,10,5,0,15
Linfar_TeamCity.SonarQubePlugin,14,55,2,0,71
docopt_docopt.java,3,4,1,4,12
conveyal_gtfs-data-manager,0,16,1,0,17
codecentric_spring-boot-starter-batch-web,7,7,0,0,14
teamed_requs,26,119,2,7,154
tarql_tarql,16,10,0,57,83
TomasMikula_ReactFX,1,14,3,1,19
larsgrefer_android-library,0,10,0,1,11
sogyf_mybatis-pagination,0,14,0,0,14
googlesamples_android-FloatingActionButtonBasic,0,10,0,0,10
pac4j_vertx-pac4j,1,6,0,0,7
fge_throwing-lambdas,0,3,1,0,4
lenskit_lenskit,0,67,54,0,121
MALfunction84_psi-probe,0,56,3,0,59
payara_Payara,1668,8164,1170,2522,13524
OpenHFT_Chronicle-Map,15,113,20,552,700
SignalR_java-client,0,14,11,0,25
edgedalmacio_phisix,20,6,2,13,41
altamiracorp_honeycomb,0,0,0,0,0
Azure_azure-documentdb-java,0,8,0,0,8
xerial_sqlite-jdbc,15,72,2,54,143
hdweiss_mOrgAnd,0,30,1,0,31
totalvoidness_cryptomator,0,45,12,0,57
cbitstech_Purple-Robot,0,484,26,0,510
amten_NeuralNetwork,0,2,0,0,2
sonyxperiadev_MultimediaForAndroidLibrary,0,342,12,1,355
HotelsDotCom_plunger,0,5,0,0,5
windy1_google-places-api-java,5,5,2,16,28
spring-cloud_spring-cloud-consul,0,59,0,0,59
DICE-UNC_jargon,0,1100,200,0,1300
apache_incubator-tamaya,124,17,9,206,356
mifmif_Generex,0,0,0,0,0
PGWelch_com.opendoorlogistics,0,610,149,0,759
tynamo_tapestry-resteasy,0,4,0,0,4
SonarSource_sonar-findbugs,16,54,4,5,79
PhantomYdn_wicket-orientdb,10,149,5,67,231
mobiledeeplinking_mobiledeeplinking-android,0,15,0,0,15
OryxProject_oryx,87,27,21,25,160
InfinityRaider_AgriCraft,0,570,16,13,599
ontometrics_slack-youtrack,0,25,1,0,26
unchartedsoftware_aperture-tiles,0,160,16,1,177
Azure_azure-storage-java,0,0,0,0,0
Universal-Electricity_ICBM,0,322,11,0,333
datanucleus_datanucleus-core,214,681,135,3284,4314
Roanis_atg-tdd,0,50,0,1,51
snakerflow_snakerflow,0,61,10,0,71
nhatminhle_cofoja,0,22,9,2,33
stealthly_xml-avro,0,4,0,0,4
novoda_sqlite-provider,0,43,1,0,44
vladimirvivien_clamshell-cli,0,28,0,0,28
awslabs_aws-dynamodb-encryption-java,32,79,6,52,169
Stratio_deep-spark,0,109,10,0,119
NoChanceSD_PvPManager,0,19,7,0,26
lqd-io_liquid-sdk-android,0,22,1,2,25
wix_petri,0,146,9,4,159
Azure_azure-notificationhubs-samples,0,0,0,0,0
wgybzbrobot_sns-crm,0,29,0,0,29
caskdata_netty-http,0,0,0,0,0
DataDog_jmxfetch,0,23,2,0,25
geftimov_MapReduce,0,76,0,0,76
eclipse-jetty_eclipse-jetty-plugin,8,228,4,22,262
my2iu_Jinq,51,314,28,134,527
galenframework_galen,11,103,23,2,139
camunda_camunda-consulting,0,1805,10,0,1815
forcedotcom_SalesforceMobileSDK-CordovaPlugin,0,428,23,12,463
embulk_embulk-output-jdbc,0,7,1,0,8
kite-sdk_kite,0,393,80,0,473
Vektah_idea-rust,0,0,0,0,0
mvarnagiris_financius-public,0,259,44,0,303
appium_droiddriver,0,0,0,0,0
spring-projects_spring-session,0,47,2,0,49
netplex_json-smart-v1,0,73,1,0,74
jonnyzzz_TeamCity.Virtual,0,20,0,0,20
mahmoudparsian_data-algorithms-book,14,15,2,0,31
gravel-st_gravel,0,614,112,159,885
WhisperSystems_WebSocket-Resources,10,62,1,6,79
fiji_Stitching,25,189,5,27,246
ikarienator_pure-idea,0,0,0,0,0
apache_stratos,0,1102,104,9,1215
joshlong_boot-examples,0,6,0,0,6
googlesamples_android-testing,0,14,0,0,14
yandex-qatools_hamcrest-pojo-matcher-generator,0,6,0,0,6
JakeWharton_paraphrase,0,0,0,0,0
dgageot_simplelenium,6,1,1,11,19
yammer_breakerbox,0,13,4,0,17
zk1931_jzab,0,7,8,0,15
bedrin_jsonde,0,40,5,7,52
PayPal_PayPal-Java-SDK,0,251,16,0,267
dropwizard_dropwizard-protobuf,2,36,0,0,38
danielnorberg_auto-matter,0,0,0,0,0
shazam_fork,0,46,7,0,53
shamanland_floating-action-button,0,2,0,0,2
loldevs_riotapi,0,108,7,0,115
HearthStats_HearthStats.net-Uploader,1,321,0,0,322
spring-projects_spring-xd-modules,0,1,0,0,1
vibe-project_vibe-java-server,3,0,0,0,3
chocotan_lolibox,0,4,1,0,5
scriptella_scriptella-etl,0,126,18,0,144
codeine-cd_codeine,0,540,44,0,584
wildflyext_wildfly-camel,56,175,3,14,248
takari_takari-local-repository,7,1,0,0,8
spotify_crtauth-java,13,5,2,5,25
nusco_narjillos,0,50,15,2,67
intercom_intercom-java,0,75,13,9,97
dangdangdotcom_config-toolkit,0,7,0,0,7
murraycu_android-galaxyzoo,0,128,5,0,133
neo4j_neo4j-ogm,323,103,68,488,982
drapostolos_type-parser,0,6,3,0,9
zerograph_zerograph,0,0,0,0,0
SomMeri_matasano-cryptopals-solutions,0,76,8,0,84
kaazing_k3po,264,528,49,136,977
red5_red5-hls-plugin,0,1,1,0,2
flipkart-incubator_foxtrot,0,94,40,0,134
phishman3579_java-algorithms-implementation,0,62,1,0,63
Crate_crate,0,2630,1214,11,3855
KronicDeth_intellij-elixir,0,187,18,0,205
liftsecurity_burpbuddy,0,0,1,0,1
neuroph_master,0,224,73,0,297
googlesamples_android-BasicSyncAdapter,0,41,0,0,41
devnied_EMV-NFC-Paycard-Enrollment,35,237,5,238,515
jbruchanov_AnUitor,0,31,0,0,31
Kixeye_chassis,5,104,3,1,113
spring-projects_spring-integration-aws,0,41,0,0,41
orientechnologies_orientdb-lucene,0,11,0,0,11
nginx-clojure_nginx-clojure,0,780,30,1,811
jMetal_jMetal,0,142,172,2,316
sitewhere_sitewhere,0,188,6,0,194
eclipse_leshan,0,233,98,0,331
jboss-gpe_processFlowProvision,0,138,0,0,138
Apereo-Learning-Analytics-Initiative_OpenDashboard,0,42,4,0,46
lumongo_lumongo,0,1205,23,0,1228
GumTreeDiff_gumtree,0,103,5,3,111
SkymindIO_nd4j,0,0,0,0,0
hadooparchitecturebook_hadoop-arch-book,0,67,1,0,68
norecha_pokubot,0,24,1,0,25
sualeh_magnetictrackparser,0,0,0,14,14
xored_yang-ide,0,223,33,1,257
poetix_protonpack,0,0,1,4,5
freemarker_fmpp,0,143,4,0,147
Netflix_Surus,0,0,0,0,0
Graphity_graphity-client,0,74,0,0,74
mikvor_hashmapTest,2,19,0,0,21
gridkit_nanocloud,122,308,24,178,632
WalnutiQ_WalnutiQ,0,0,0,0,0
jackpf_ApkDownloader,24,1691,9,150,1874
jparkie_GivesMeHopeAndroidClient,0,106,2,0,108
openmhealth_omh-shims,0,0,0,0,0
outbrain_ob1k,0,87,22,0,109
Pyros2097_GdxStudio,0,827,20,12,859
xhanin_jarup,1,0,0,1,2
kristian-lange_MechArg,0,250,55,0,305
Cascading_cascading-hive,1,14,0,0,15
Cloudslab_CloudSimEx,0,45,17,0,62
ReactiveX_RxSwing,0,2,0,0,2
appium_java-client,0,81,3,0,84
spotify_cassandra-reaper,0,0,0,0,0
jvirtanen_parity,15,57,1,16,89
pusher_pusher-http-java,7,46,1,0,54
JorgeCastilloPrz_Corleone,0,3,0,0,3
spring-projects_spring-integration-kafka,0,13,1,0,14
welovecoding_editorconfig-netbeans,0,123,0,0,123
cegeka_batchers,0,91,3,0,94
ysc_word,42,3,2,33,80
ReactiveX_RxJavaJoins,0,0,0,0,0
larsga_Duke,82,11,7,11,111
pedrovgs_Algorithms,0,2,0,0,2
indexiatech_antiquity,8,27,4,47,86
marcosvidolin_doco,6,0,0,0,6
nenick_AndroidAppDevelopment,0,3,3,0,6
Viscent_JavaConcurrencyPattern,0,0,0,0,0
SimonVT_cathode,0,329,1,0,330
apache_incubator-wave,1,2372,429,2,2804
HiddenStage_divide,0,198,8,0,206
caskdata_coopr,0,449,62,0,511
WhisperSystems_libaxolotl-android,0,22,12,0,34
douglascraigschmidt_POSA-14,1,96,0,0,97
emory-courses_cs323,0,0,0,1,1
Ullink_simple-slack-api,0,7,9,0,16
klinker24_Talon-for-Twitter,0,580,20,0,600
bozaro_git-as-svn,0,0,0,0,0
fiji_TrackMate,219,579,55,598,1451
pardom_ollie,0,35,0,0,35
digitalfondue_lavagna,0,65,26,0,91
ddavison_conductor,0,9,0,0,9
valchkou_cassandra-driver-mapping,0,2,4,0,6
CIRDLES_Topsoil,0,96,10,0,106
ShifuML_guagua,18,205,6,54,283
rapidminer_rapidminer,0,3457,547,13,4017
apache_metamodel,413,342,152,1753,2660
kuujo_copycat,164,179,184,1860,2387
spring-projects_spring-integration-java-dsl,0,56,5,3,64
dobrynya_nomin,0,26,0,0,26
jmrozanec_cron-utils,121,6,22,331,480
basis-technology-corp_tcl-regex-java,0,2,3,0,5
GoogleCloudPlatform_bigdata-interop,96,274,34,170,574
lucaspouzac_contiperf,0,37,3,0,40
Stratio_stratio-cassandra,0,1543,299,4,1846
pulsarIO_realtime-analytics,40,38,4,44,126
rejasupotaro_octodroid,0,39,0,0,39
lemonlabs_u2020-mortar,0,31,1,0,32
codefollower_Tomcat-Research,1350,3854,478,3740,9422
h2oai_h2o,293,1001,105,613,2012
pavel4n_wowdoge.org,303,795,72,776,1946
SharedKnowledge_SharkFW,92,316,69,113,590
kishida_sqlparser,0,56,0,0,56
jcabi_jcabi-http,49,1,2,177,229
SkymindIO_deeplearning4j,0,0,0,0,0
simon-heinen_SimpleUi,0,131,6,2,139
nemerosa_ontrack,0,59,6,3,68
bonigarcia_dualsub,13,79,3,51,146
RuedigerMoeller_kontraktor,0,241,34,17,292
wildfly_wildfly-core,905,4582,1213,3527,10227
ElectronicChartCentre_java-vector-tile,5,89,0,0,94
google_domaintest,18,56,2,11,87
passy_scdl,0,109,3,1,113
jagornet_dhcp,0,213,36,0,249
iilab_PanicButton,0,59,6,0,65
hiteshsondhi88_ffmpeg-android-java,0,0,1,0,1
holodeck-b2b_Holodeck-B2B,7,195,98,147,447
Netflix_aegisthus,0,65,1,0,66
googlesamples_android-ElevationBasic,0,9,0,0,9
subchen_jetbrick-template-2x,23,412,14,56,505
deeplearning4j_nd4j,0,0,0,0,0
pilehvar_ADW,0,0,2,4,6
mozilla_MozStumbler,0,315,20,0,335
guardianproject_NetCipher,0,76,0,0,76
mcupak_beacon-of-beacons,0,30,3,0,33
oyachai_HearthSim,0,79,34,0,113
jlinn_quartz-redis-jobstore,3,8,1,1,13
damiencarol_jsr203-hadoop,1,1,0,23,25
LordH3lmchen_TwitchTools,0,10,1,0,11
RoyalDev_TheHumanity,0,0,0,0,0
nulab_backlog4j,0,9,3,0,12
TeamCohen_ProPPR,0,145,27,0,172
libgdx_box2dlights,7,24,0,0,31
google_truth,13,116,10,1024,1163
serenity-bdd_serenity-demos,0,9,0,0,9
JetBrains_youtrack.mylyn.connector,0,59,2,0,61
yangchenjava_com.yangc.utils,0,14,0,0,14
abel533_ECharts,0,13,7,0,20
Devexperts_aprof,0,16,2,1,19
greenmail-mail-test_greenmail,0,152,7,2,161
willowtreeapps_saguaro,0,0,0,0,0
dart-maven-plugin_dart-maven-plugin,1,0,0,0,1
denimgroup_threadfix,0,795,101,11,907
pastekit_twist,10,9,1,22,42
GoogleCloudPlatform_DataflowJavaSDK,0,0,0,0,0
buremba_rakam,0,77,8,0,85
Tillerino_Tillerinobot,0,75,12,0,87
emicklei_rendersnake,0,28,1,1,30
Dalanie_SimpleNews,0,14,2,0,16
twotoasters_multi-column-list-adapter,0,5,0,0,5
opensciencemap_vtm,0,676,41,0,717
elastic_elasticsearch-river-couchdb,0,3,0,0,3
dbfit_dbfit,0,59,0,1,60
idok_jscs-plugin,0,15,0,0,15
elastic_elasticsearch-river-wikipedia,0,2,0,0,2
jkazama_ddd-java,0,24,0,2,26
bywan_trello-java-wrapper,0,76,5,0,81
AmailP_robot-plugin,0,1,0,0,1
glazedlists_glazedlists,0,188,38,0,226
englishtown_vertx-cassandra,5,40,0,17,62
enonic_xp,0,1287,755,0,2042
Instagram_ig-json-parser,0,81,4,0,85
mbernste_machine-learning,0,14,6,0,20
vert-x3_codegen,54,42,27,510,633
Azure_azure-notificationhubs,0,17,2,0,19
google_closure-templates,352,2073,398,2301,5124
pantsbuild_intellij-pants-plugin,0,90,7,0,97
socketIo4Netty_socketIo4j,0,38,2,0,40
beothorn_webGrude,0,5,0,0,5
OpenMRS_openmrs-module-fhir,50,279,5,265,599
jitsi_jigasi,25,147,7,26,205
srikalyc_Sql4D,0,726,3,0,729
HubTurbo_HubTurbo,0,140,17,2,159
freenet_contrib,1,29,0,1,31
elibom_jogger,21,59,4,2,86
airbnb_airpal,0,25,6,0,31
fizzed_java-stork,8,7,1,6,22
extjwnl_extjwnl,55,45,25,228,353
xpqiu_fnlp,241,63,32,215,551
GoogleCloudPlatform_gcloud-java,0,0,0,0,0
moznion_java-mysql-diff,0,6,0,0,6
vert-x3_service-proxy,9,19,2,20,50
nhaarman_Triad,0,2,0,0,2
gwtbootstrap3_gwtbootstrap3,4,402,11,0,417
AlchemyAPI_alchemyapi_java,8,56,1,0,65
OneDrive_onedrive-picker-android,0,3,0,0,3
hankcs_HanLP,0,0,0,0,0
elastic_elasticsearch-transport-memcached,0,5,0,0,5
WASdev_standards.jsr352.jbatch,34,102,24,119,279
Kixeye_kixmpp,27,24,8,79,138
w3c_ldp-testsuite,5,100,2,0,107
EverythingMe_plaxien,0,4,0,0,4
kaklakariada_portmapper,0,14,0,0,14
spring-platform-samples_eureka,0,0,0,0,0
headwirecom_aem-solr-search,0,129,0,0,129
Rayman2200_PDFA3,109,21,16,252,398
bither_bitherj,0,682,27,14,723
OpenSilk_Orpheus,2,777,90,1,870
Wolfgang-Schuetzelhofer_jcypher,135,251,93,811,1290
pcingola_SnpEff,400,405,74,332,1211
mirkosertic_FXDesktopSearch,0,16,2,0,18
magarena_magarena,0,1164,212,5,1381
SmartBear_JCeleryWorker,0,2,0,0,2
blad_solid-android,0,9,0,0,9
etsy_Conjecture,0,7,1,1,9
mikvor_money-conversion,2,1,0,43,46
Innovattic_Android-Font-Integration,0,2,0,1,3
goodow_realtime-store,0,2,5,0,7
google_uribeacon,0,0,0,0,0
airbnb_AirMapView,0,3,5,0,8
Cardshifter_Cardshifter,0,25,26,0,51
manfenixhome_RightUtils,0,21,0,0,21
lessthanoptimal_ejml,0,93,83,0,176
semihsalihoglu_graft,0,43,0,0,43
nicklondhe_newsindexer,8,0,1,1,10
deeplearning4j_deeplearning4j,0,0,0,0,0
dkandalov_limited-wip,0,0,0,0,0
google_rich-test-results,0,1,0,0,1
ribot_easy-adapter,0,3,0,0,3
lightcouch_LightCouch,0,5,1,1,7
tuplejump_stargate-core,0,53,5,0,58
4pr0n_ripme,22,15,2,82,121
geopaparazzi_geopaparazzi,0,420,52,0,472
meyerjp3_psychometrics,240,11,17,151,419
levigo_jbig2-imageio,68,50,8,48,174
nightscout_android-uploader,0,135,5,0,140
reines_dropwizard-debpkg-maven-plugin,14,2,2,8,26
HdrHistogram_HdrHistogram,65,4,5,6,80
elastic_elasticsearch-cloud-azure,0,0,0,0,0
netizen539_civcraft,202,588,122,1359,2271
wso2_siddhi,73,287,152,973,1485
FasterXML_jackson-dataformat-cbor,4,41,0,0,45
cybergarage_cybergarage-upnp,105,630,22,185,942
nextopio_nextop-client,43,503,32,20,598
egymgmbh_log-queue,0,0,0,0,0
subchen_jetbrick-template-1x,39,344,6,48,437
Netflix_Nicobar,0,33,9,0,42
igniterealtime_Spark,288,974,136,1103,2501
mulesoft-labs_quartz-mongodb,0,2,0,0,2
smartparam_smartparam,0,23,31,3,57
HadoopGenomics_Hadoop-BAM,42,91,3,0,136
dropwizard_metrics,155,133,18,176,482
spring-guides_deprecate-tut-data,0,0,0,0,0
igniterealtime_jxmpp,0,50,4,0,54
igniterealtime_Smack,0,1778,163,3,1944
lmcgrath_scotch-lang,0,0,0,0,0
Talend_tdi-studio-se,2,8407,544,15,8968
google_google-http-java-client,116,225,15,212,568
sequenceiq_cloudbreak-shell,0,0,0,0,0
Mashape_Astronode-Broadcaster,1,0,0,3,4
mobile-event-processing_Asper,0,4535,618,1,5154
wso2_carbon-identity,482,7041,202,133,7858
rkday_jsipp,0,4,2,0,6
ks-no_eventstore2,8,145,7,5,165
SonarCommunity_sonar-csharp,47,147,5,0,199
ustwo_Clockwise,0,22,0,0,22
elastic_elasticsearch-river-rabbitmq,0,0,0,0,0
chenlb_mmseg4j-core,5,9,0,0,14
poetix_octarine,0,72,3,2,77
geckoboard-java-api_highchart-java-api,0,0,0,0,0
RNCryptor_JNCryptor,14,0,0,0,14
jlpoolen_libreveris,9,428,118,17,572
pedrovgs_Renderers,0,0,0,0,0
ic3fox_jawr,0,270,58,0,328
javaee-samples_javaee7-samples,26,118,5,2,151
Berico-Technologies_RabbidManagement,0,0,0,0,0
awslabs_aws-sdk-java-resources,4,46,22,6,78
whois-server-list_public-suffix-list,23,11,0,24,58
the-blue-alliance_the-blue-alliance-android,0,432,68,0,500
kohlschutter_junixsocket,4,113,33,1,151
elasticsearch_elasticsearch-cloud-azure,0,0,0,0,0
jindrapetrik_jpexs-decompiler,648,2346,515,856,4365
linux-china_plantuml-gist,0,1,0,0,1
vert-x3_vertx-reactive-streams,0,0,0,0,0
spearal_spearal-java,0,13,2,0,15
sneerteam_sneer,0,29,4,0,33
sarl_sarl,54,2328,77,487,2946
abel533_Mapper,61,53,5,79,198
AppliedEnergistics_Applied-Energistics-2,0,1191,158,8,1357
apache_incubator-brooklyn,0,2758,676,18,3452
nok_soundcloud-java-library,0,7,0,0,7
digitalbuddha_AndroidStarter,0,1184,0,0,1184
Ecwid_consul-api,0,31,3,0,34
ajohnston9_ciscorouter,0,12,1,0,13
TannerPerrien_picasso-transformations,0,68,0,0,68
OpenHFT_Chronicle-Queue,28,43,12,363,446
caskdata_cdap,0,5228,1011,2,6241
kiselev-dv_gazetteer,0,102,11,0,113
jansorg_BashSupport,0,97,12,0,109
googlesamples_android-Interpolator,0,0,0,0,0
kairosdb_kairosdb-client,22,1,4,83,110
nguyenq_tess4j,8,134,0,0,142
majikthys_log4j2-logstash-jsonevent-layout,0,2,0,0,2
kirimin_mitsumine,0,0,0,0,0
shalupov_idea-cloudformation,0,0,0,0,0
Netflix_ReactiveLab,0,22,0,0,22
krasa_StringManipulation,0,76,6,1,83
jamesagnew_hapi-fhir,1,1959,687,3,2650
ruby-concurrency_thread_safe,0,11,0,0,11
juniversal_juniversal,19,371,4,10,404
jprante_log4j2-elasticsearch,0,0,0,0,0
AChep_AcDisplay,0,327,17,0,344
