Repo,HWD,GS,ED,LDV,Total
HPI-Information-Systems_Metanome,258,179,51,229,717
basgren_railways,0,52,1,0,53
Stratio_stratio-streaming,15,64,9,5,93
gustavomondron_twik,0,34,5,0,39
swookiee_com.swookiee.runtime,0,15,1,0,16
codelibs_elasticsearch-dynarank,0,18,0,0,18
radcortez_wow-auctions,2,2,0,0,4
hansenji_pocketknife,0,90,0,0,90
palantir_stash-codesearch-plugin,0,40,1,0,41
irobertson_pojomatic,14,28,2,14,58
TomasMikula_EasyBind,0,0,0,0,0
RaiMan_SikuliX2,0,0,0,0,0
ESAPI_esapi-java-legacy,145,210,21,480,856
ben-manes_concurrentlinkedhashmap,0,11,0,0,11
psidnell_ofexport2,20,16,6,38,80
mraad_Shapefile,25,3,0,2,30
ruediste_btrbck,0,6,5,0,11
tectonicus_tectonicus,0,123,101,0,224
jherico_jovr,0,347,2,0,349
ushahidi_platform-android,0,0,0,0,0
janus-project_janusproject,0,0,0,0,0
englishtown_vertx-when,7,1,0,0,8
aol_simple-react,0,380,231,82,693
cloud-software-foundation_c5,0,4125,450,0,4575
OpenSOC_opensoc-streaming,2,92,1,0,95
JD-Software_JDeSurvey,0,2,10,0,12
dita4publishers_dita4publishers,0,213,22,0,235
project-ncl_pnc,283,734,174,511,1702
thheller_shadow-pgsql,0,54,6,0,60
cesquivias_mumbler,0,6,2,0,8
google_openrtb-doubleclick,0,21,0,0,21
InkApplications_android-preferences,0,0,0,0,0
stickfigure_objectify-insight,0,8,0,0,8
Cloudslab_cloudsim,100,291,37,341,769
OPENNETWORKINGLAB_OpenVirteX,0,92,19,0,111
edwardcapriolo_nibiru,141,45,28,226,440
vt-middleware_passay,0,55,2,0,57
btrplace_scheduler,0,97,109,0,206
Netflix_staash,0,196,12,0,208
sford_yet-another-commit-checker,0,0,0,0,0
google_thread-weaver,0,0,11,1,12
fbacchella_RRD4J,0,0,0,0,0
warmshowers_wsandroid,0,3,0,0,3
stagemonitor_stagemonitor,0,145,50,2,197
apache_incubator-calcite,0,2075,734,4,2813
peakgames_libgdx-stagebuilder,0,0,0,0,0
mscharhag_oleaster,4,10,1,2,17
openlvc_portico,0,279,139,0,418
h6ah4i_android-openslmediaplayer,0,651,15,0,666
maciejmiklas_cyclop,0,48,16,0,64
calrissian_flowmix,34,31,3,90,158
midonet_midonet,0,739,26,0,765
google_google-oauth-java-client,33,16,0,10,59
ReactiveX_RxJavaReactiveStreams,0,2,0,0,2
spotify_docker-maven-plugin,6,3,0,0,9
eseifert_vectorgraphics2d,0,30,3,0,33
divolte_divolte-collector,0,43,3,0,46
theupswell_appengine-counter,0,6,0,0,6
trulia_trulia-java-rets-client,1,698,15,0,714
roboconf_roboconf-platform,0,215,140,0,355
NetApp_NetApp-Hadoop-NFS-Connector,0,50,2,0,52
hk2-project_hk2,0,627,188,0,815
yfain_java24hourtrainer2ndedition,0,1,0,0,1
komamitsu_jackson-dataformat-msgpack,0,7,0,0,7
WhisperSystems_TextSecure-Server,0,164,43,0,207
cecom_pomutils,16,1,0,1,18
davidsowerby_krail,0,29,12,4,45
venmo_cursor-utils,0,0,0,0,0
fesh0r_fernflower,0,261,54,0,315
Robbert1_boot-stateless-auth,0,0,0,0,0
guardianproject_android-ffmpeg-java,0,44,0,0,44
HolmesNL_kafka-spout,7,12,0,0,19
jbachorik_btrace,0,252,13,0,265
HotswapProjects_HotswapAgentExamples,0,12,0,0,12
krisjey_redis.usecase,0,1,0,0,1
pushtorefresh_bamboo-storage,0,186,25,0,211
tpalsulich_NYU-BusTracker-Android,0,22,1,4,27
jprante_elasticsearch-xml,0,20,0,0,20
spring-guides_deprecate-tut-rest,0,0,0,0,0
aceleradora6-tw_RegistroLivre,0,2,1,0,3
codelibs_elasticsearch-cluster-runner,0,9,0,0,9
arun-gupta_wildfly-samples,28,59,7,41,135
whatscloud_whatscloud-android,0,135,14,2,151
GeeQuery_ef-orm,0,0,0,0,0
BranchMetrics_Branch-Android-SDK,0,78,8,1,87
googlesamples_android-NavigationDrawer,0,11,0,0,11
mpcjanssen_simpletask-android,0,25,0,0,25
eHarmony_vw-webservice,0,19,2,0,21
wso2_MDM-Android-Agent,0,111,5,0,116
flaxsearch_luwak,55,60,10,8,133
camunda_camunda-modeler-standalone,0,0,0,0,0
VRL-Studio_VRL,0,506,58,1,565
edwardcapriolo_farsandra,9,0,0,78,87
scratches_spring-boot-legacy,1,3,0,0,4
phasenraum2010_javaee7-petclinic,0,0,2,0,2
mrniko_redisson,457,387,210,1364,2418
lordi_tickmate,0,29,0,0,29
webdriverextensions_webdriverextensions,4,29,2,0,35
syncthing_syncthing-android,0,79,8,0,87
couchbase_couchbase-jvm-core,95,216,71,293,675
spring-cloud_spring-cloud-connectors,0,52,1,0,53
dcevm_dcevm,0,385,0,0,385
brettwooldridge_HikariJSON,1,22,0,0,23
Baqend_Orestes-Bloomfilter,0,15,2,2,19
quemb_QMBForm,0,67,4,0,71
sequenceiq_cloudbreak,0,1579,305,0,1884
JetBrains_teamcity-deployer-plugin,6,53,0,0,59
Netflix_zeno,0,39,12,0,51
viritin_viritin,27,71,4,23,125
vladmihalcea_flexy-pool,0,85,5,0,90
chanjarster_tomcat-mongo-access-log,0,31,0,0,31
Alexey1Gavrilov_expectit,40,11,3,24,78
Vincentyification_JavaBot,13,16,3,26,58
caelum_mamute,137,81,38,111,367
steventrigg_AlarmClock,0,0,0,0,0
Poweruser_MinetickMod,0,120,74,12,206
chanan_SignalJ,0,29,1,0,30
abel533_Mybatis-Spring,0,0,0,0,0
vinumeris_lighthouse,0,191,0,0,191
usc-isi-i2_Web-Karma,551,383,167,1718,2819
rancherio_cattle,2,2655,316,14,2987
Netflix_spectator,0,39,41,1,81
MicBrain_Graph-API,0,0,0,0,0
dibbhatt_kafka-spark-consumer,15,26,2,1,44
readydev_retrogram,0,2,0,0,2
red5_red5-io,0,166,9,0,175
google_jimfs,21,18,5,80,124
searchisko_elasticsearch-river-remote,53,48,8,24,133
Sotera_distributed-graph-analytics,0,45,1,0,46
apache_olingo-odata4,1009,724,422,5060,7215
allanbank_mongodb-async-driver,336,409,134,2117,2996
tlaukkan_zigbee4java,286,1196,63,168,1713
chiuki_gce2retrofit,0,1,0,0,1
Team254_TrajectoryLib,13,12,1,12,38
fcrepo3_gsearch,0,1,0,0,1
takezoe_xlsbeans,0,26,3,0,29
fcrepo3_fcrepo,0,750,94,2,846
techpanja_interviewproblems,0,0,0,0,0
jetty-project_jetty-alpn,0,1,0,0,1
prasanthj_hyperloglog,0,12,0,0,12
jurmous_etcd4j,0,55,1,0,56
41concepts_VALJOGen,0,91,5,0,96
JakeWharton_double-espresso,0,22,3,0,25
tkaczmarzyk_specification-arg-resolver,46,104,1,0,151
JetBrains_teamcity-azure-plugin,0,1,0,0,1
twitter_hpack,5,2,0,0,7
dhleong_intellivim,0,23,3,1,27
nekopanda_logbook,0,211,26,0,237
recruit-tech_redpen,216,13,21,931,1181
serenity-bdd_serenity-cucumber,0,13,0,0,13
XiaoMi_chronos,0,20,0,0,20
SpongePowered_SpongeAPI,0,6316,8,0,6324
reveal-technologies_sitewhere,0,188,6,0,194
junichi11_netbeans-github-issues-plugin,0,69,5,0,74
dropwizard_dropwizard-java8,10,19,0,0,29
rterp_GMapsFX,0,48,6,0,54
tox4j_tox4j,0,2,0,0,2
jtrfp_terminal-recall,180,699,59,632,1570
hsz_idea-gitignore,0,0,0,0,0
rapidftr_RapidFTR-Android,0,80,14,0,94
inductiveautomation_opc-ua-stack,0,6762,56,0,6818
mulesoft_raml-for-jax-rs,6,13,7,15,41
bramp_ffmpeg-cli-wrapper,27,50,4,55,136
simpligility_android-maven-plugin,0,224,3,0,227
google_cap-library,0,189,16,0,205
kwon37xi_hibernate4-memcached,0,45,0,0,45
spring-cloud_spring-cloud-config,0,91,2,0,93
pietermartin_sqlg,80,207,40,3895,4222
opener-project_ner-base,0,33,1,0,34
netceteragroup_valdr-bean-validation,0,2,0,0,2
stephanenicolas_mimic,0,1,0,0,1
elastic_elasticsearch-cloud-aws,0,0,0,0,0
elastic_elasticsearch-mapper-attachments,0,27,0,0,27
Realm_realm-java,1,809,94,0,904
oxygenxml_TEI-Facsimile-Plugin,0,2,0,0,2
google_google-authenticator-android,0,58,2,0,60
codelibs_elasticsearch-reindexing,0,0,0,0,0
jensjaeger_play4jpa,0,7,0,0,7
graphaware_neo4j-uuid,0,1,0,0,1
miho_JCSG,0,22,4,5,31
opentok_opentok-android-sdk-samples,0,58,0,0,58
yesnault_PlayStartApp,0,10,0,0,10
Flow_Caustic,9,76,5,1,91
IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java,0,5,1,0,6
socrata_soda-android-sdk,0,2,0,0,2
JDatePicker_JDatePicker,24,6,0,36,66
tchoulihan_bitmerchant,0,0,0,0,0
jenkinsci_junit-plugin,0,55,2,3,60
jparyani_wave,1,2063,436,2,2502
pschirmacher_webster,0,94,1,6,101
jayway_powermock,1,125,14,0,140
ToToTec_CmdOption,0,54,1,0,55
haifengl_smile,0,279,57,1,337
hogelog_line-chart-view,0,14,0,0,14
revapi_revapi,55,270,32,119,476
WebGoat_WebGoat,0,34,4,0,38
immutables_immutables,74,1404,102,790,2370
spring-projects_spring-data-examples,0,31,1,1,33
documents4j_documents4j,20,164,3,64,251
spring-projects_spring-restdocs,0,27,10,0,37
guardianproject_storymaker,2,1810,11,0,1823
vert-x3_vertx-rx,252,5291,485,92,6120
qcri-social_AIDR,0,285,54,0,339
nicolasjafelle_AndroidDemo,0,9,1,0,10
googlesamples_android-ActivitySceneTransitionBasic,0,0,0,0,0
abrensch_brouter,0,57,15,0,72
lightblue-platform_lightblue-core,65,278,99,90,532
apache_curator,351,51,122,2123,2647
OpenHFT_Chronicle-Core,34,59,10,66,169
davidmoten_rxjava-jdbc,6,20,4,70,100
methusalah_Draaxben,0,79,28,5,112
oasp_oasp4j,3,89,0,0,92
zsoltherpai_fluent-jdbc,3,3,4,3,13
salyh_elasticsearch-river-imap,12,6,1,4,23
mucommander_mucommander,0,2583,200,8,2791
resty-gwt_resty-gwt,3,117,9,0,129
statefulj_statefulj,3,29,8,9,49
joel-costigliola_assertj-swing,225,54,31,450,760
jmurty_java-xmlbuilder,1,4,0,33,38
wnbittle_dyn4jtelefonicaid_fiware-cygnus,0,0,0,0,0
octo-online_reactive-audit,0,30,0,0,30
confluentinc_kafka-rest,0,266,58,0,324
tootedom_related,0,224,16,0,240
apache_falcon,0,708,195,10,913
fabric8io_quickstarts,9,13,0,0,22
bnjmn_weka,30,1871,467,41,2409
tomsteele_burpbuddy,0,0,1,0,1
fernandodev_easy-rating-dialog,0,0,0,0,0
ehcache_ehcache-jcache,5,0,0,0,5
expercise_expercise,39,15,17,48,119
uPhyca_idobata4j,0,4,1,0,5
bitcoinj_bitcoinj,0,771,85,6,862
jubeio_jube,0,35,4,3,42
guikeller_jetty-runner,0,10,0,0,10
nativelibs4java_BridJ,2,622,17,1,642
Firebase_geofire-java,11,11,0,0,22
mstahv_maddon,27,71,4,23,125
etsy_statsd-jvm-profiler,6,25,1,0,32
cloudfoundry-community_spring-boot-cf-service-broker,0,5,0,0,5
torodb_torodb,0,0,0,0,0
xmlunit_xmlunit,111,73,23,688,895
crocs-muni_JCAlgTest,17,1022,4,0,1043
wso2_product-esb,6,70,1,0,77
Appendium_flatpack,52,14,3,63,132
apache_incubator-twill,43,127,27,62,259
holgerbrandl_themoviedbapi,0,55,7,0,62
branky_cascading.hive,0,15,0,0,15
rtreffer_minidns,0,75,16,0,91
elastic_elasticsearch-lang-javascript,0,0,0,0,0
vladmihalcea_hibernate-master-class,0,142,0,0,142
vbence_stream-m,0,44,4,0,48
orangesignal_orangesignal-android-camera,0,30,1,0,31
aboev_photobook-client,0,99,7,0,106
springer-opensource_omelet,30,20,2,48,100
venmo_android-pin,0,4,0,0,4
redraiment_jactiverecord,5,0,0,37,42
OpenHFT_Chronicle-Wire,106,192,14,771,1083
MER-C_wiki-java,23,53,0,27,103
jitsi_jicofo,9,38,2,14,63
tvbarthel_SimpleWeatherForecast,0,59,2,0,61
iipc_webarchive-commons,131,488,15,98,732
AltBeacon_android-beacon-library,0,51,5,0,56
WhisperSystems_Flock,0,175,21,0,196
flexiblepower_powermatcher,0,32,9,0,41
iheartradio_open-m3u8,0,102,12,0,114
puniverse_comsat-examples,0,27,0,0,27
apache_jackrabbit-filevault,0,367,58,1,426
tesis-dynaware_graph-editor,0,30,26,9,65
NirmataOSS_workflow,23,3,8,62,96
flipkart-incubator_Lois,0,0,0,0,0
udacity_ud859,0,73,1,0,74
linkedin_Spyglass,0,15,3,0,18
phax_ph-css,115,695,21,293,1124
w3blogfr_zebra-zpl,7,0,0,0,7
TeamBliss-LP_android_frameworks_base,2,25054,1378,16,26450
RobotiumTech_robotium,0,25,4,0,29
internet-research-network_breeze,7,5,0,0,12
hgoebl_DavidWebb,0,11,0,0,11
davidmoten_rtree,15,62,12,105,194
fookwood_Launcher3,1,505,74,2,582
thatJavaNerd_JRAW,0,66,1,0,67
siosio_DomaSupport,0,0,0,0,0
polyglot-compiler_polyglot,88,1450,344,2180,4062
naver_volley-extensions,0,37,3,0,40
pydio_pydio-sync-java,0,44,1,5,50
gregturn_spring-a-gram,0,8,0,0,8
GoogleCloudPlatform_endpoints-codelab-android,0,63,3,0,66
awslabs_aws-ant-tasks,14,33,1,0,48
Hive2Hive_PeerBox,0,29,31,0,60
giltene_PauselessHashMap,1,0,0,0,1
mapzen_lost,0,43,9,0,52
javaparser_javaparser,718,433,372,3515,5038
yegor256_netbout,0,33,2,0,35
tynamo_tapestry-security,3,23,4,2,32
knightliao_disconf,0,150,20,0,170
MCTCP_TerrainControl,1,501,45,0,547
jprante_elasticsearch-plugin-bundle,0,54,1,0,55
zhangkaitao_spring4-showcase,0,8,0,0,8
johnjohndoe_TypedPreferences,0,7,0,0,7
uwescience_myria,0,512,66,0,578
fs_android-base,0,0,0,0,0
christoffer_pycharm-pyxl,0,25,0,0,25
spotify_futures-extra,0,2,0,0,2
MinecraftForge_FernFlower,0,261,54,0,315
GluuFederation_oxAuth,908,245,254,3011,4418
theDazzler_droidicon,0,0,1,0,1
oodrive_eguan,0,249,124,0,373
avast_android-butterknife-zelezny,0,4,0,0,4
RentTheRunway2_alchemy,28,74,11,146,259
att_XACML,0,0,0,0,0
brendano_arkref,0,78,4,10,92
orhanobut_wasp,0,9,4,0,13
fabric8io_fabric8,0,0,0,0,0
Accla_d4m_api_java,134,175,9,13,331
esigate_esigate,107,120,25,215,467
ranjan-rk_restfiddle,0,0,10,0,10
creativa77_AndroidStreamingClient,0,18,2,0,20
javers_javers,0,53,40,1,94
codelibs_elasticsearch-taste,79,49,17,30,175
spirosoik_RapidAndroidApp,0,56,2,0,58
la-team_light-admin,19,50,18,159,246
apache_struts-examples,42,18,0,12,72
turbomanage_storm-gen,0,29,2,0,31
fadeyev_intellijcoder,0,45,1,0,46
wb14123_bard,0,52,3,0,55
scopely_fontain,0,7,2,0,9
timtiemens_secretshare,0,47,1,0,48
data,0,0,0,0,0
entando_entando-components,0,854,76,0,930
buschmais_extended-objects,25,14,16,635,690
novoda_sqlite-analyzer,0,494,0,0,494
kontalk_tigase-server,161,1098,85,266,1610
embulk_embulk,0,50,30,0,80
polydawn_mdm,0,12,0,0,12
JetBrains_kotlin-eclipse,0,75,0,0,75
WuXiaolong_WeWin,0,30,0,0,30
square_okio,0,7,0,0,7
cternes_openkeepass,166,13,10,222,411
ni3po42_traction.mvc,0,37,0,0,37
laco0416_SmileEssence,0,45,18,1,64
querydsl_querydsl,0,1291,143,3,1437
tuenti_ButtonMenu,0,0,1,0,1
appium_tutorial,0,2,0,0,2
indy256_codelibrary,0,49,0,8,57
FEMR_femr,0,7,16,0,23
castlabs_dashencrypt,14,6,3,17,40
nasa_OpenSPIFe,0,1148,392,19,1559
psaravan_JamsMusicPlayer,0,0,0,0,0
BurstProject_burstcoin,0,389,41,0,430
orangesignal_orangesignal-csv,0,32,9,0,41
apache_incubator-streams,0,0,0,0,0
ewolff_user-registration,2,0,0,0,2
esig_dss,892,358,1261,1948,4459
CorfuDB_CorfuDB,2,305,139,1,447
XiaoMi_themis,0,110,8,0,118
druid-io_druid,2527,2758,1388,4786,11459
h2oai_h2o-dev,0,1233,325,50,1608
ClickTravel_Cheddar,0,18,13,0,31
blandware_android-atleap,0,132,1,0,133
pumadong_cl-privilege,0,7,4,0,11
google_google-auth-library-java,30,59,19,58,166
Swrve_rate-limited-logger,0,3,0,0,3
andrewgaul_modernizer-maven-plugin,4,4,0,20,28
bjornharrtell_jdbc-http-server,0,2,0,0,2
dcm4che_dcm4chee-arc-cdi,0,172,41,0,213
tiagobento_watertemplate-engine,10,15,0,3,28
apache_drill,0,0,0,0,0
protostuff_protostuff,92,879,59,85,1115
spotify_docker-client,19,118,5,186,328
ui4j_ui4j,0,0,0,0,0
yammer_tenacity,0,30,1,0,31
servicosgovbr_guia-de-servicos,0,0,0,0,0
mjsax_aeolus,96,179,10,3,288
pac4j_play-pac4j,6,4,0,0,10
Eldelshell_jongo,49,28,9,213,299
RPTools_maptool,0,528,103,12,643
imagej_imagej-ops,15,606,14,23,658
netplex_json-smart-v2,0,111,2,0,113
elastic_elasticsearch-hadoop,0,313,55,0,368
SpringData_spring-data-cassandra,0,0,0,0,0
OpenNMS_newts,64,39,15,128,246
wendykierp_JTransforms,80,52,0,0,132
blockchain_api-v1-client-java,2,6,1,28,37
clinejj_foursquare-api-java,4,0,8,398,410
Yubico_java-u2flib-server,0,72,8,0,80
aol_micro-server,0,39,5,0,44
joeattardi_tailstreamer,0,6,0,0,6
sdstoehr_har-reader,10,1,0,0,11
alexanderdean_Unified-Log-Processing,0,6,0,0,6
sviperll_adt4j,0,2,2,0,4
pmarches_jStellarAPI,0,16,4,0,20
ehcache_sizeof,6,28,0,0,34
pprados_audit-reactive,0,30,0,0,30
benas_easy-batch,167,36,20,265,488
taichi_siden,0,11,6,0,17
stephenostermiller_qqwing,0,6,0,0,6
kaazing_gateway,293,497,256,912,1958
apache_uima-uimafit,0,298,5,0,303
shiyimin_androidtestdebug,0,65,0,0,65
sequenceiq_ambari-shell,0,0,0,0,0
spring-cloud_spring-cloud-cluster,0,5,0,0,5
Apereo-Learning-Analytics-Initiative_LearningAnalyticsProcessor,0,18,2,0,20
dsyer_spring-boot-ratpack,0,2,0,0,2
radkovo_jStyleParser,18,580,31,218,847
frankiesardo_auto-parcel,0,3,0,0,3
operasoftware_operaprestodriver,63,2359,14,230,2666
sriharshachilakapati_SilenceEngine,0,1220,27,13,1260
semanticvectors_semanticvectors,133,69,30,120,352
freenet_fred,0,1032,288,1,1321
TomasMikula_RichTextFX,0,23,2,3,28
senbox-org_s1tbx,320,632,33,58,1043
chaupal_jxse,538,733,244,490,2005
big-mouth-cn_ticket4j,0,40,4,0,44
acciente_oacc-core,0,54,36,0,90
open-eid_digidoc4j,213,359,64,818,1454
camelinaction_camelinaction,0,1,0,0,1
thiagolocatelli_parse4j,0,56,3,0,59
DICE-UNC_idrop,0,170,39,0,209
exxeleron_qJava,0,3,3,0,6
remibantos_jeeshop,38,37,11,17,103
USC-NSL_PUMA,0,4,1,1,6
urandom_gearshift,0,611,5,0,616
kairosdb_kairosdb,0,373,30,0,403
fireduck64_jelectrum,0,54,3,0,57
Netflix_iep,0,34,2,1,37
thm-projects_arsnova-backend,0,132,17,0,149
go-ive_steam-api,0,0,0,0,0
ypresto_android-transcoder,0,21,1,0,22
zutherb_AppStash,0,13,2,0,15
meltmedia_dropwizard-crypto,1,16,0,0,17
elastic_elasticsearch-analysis-kuromoji,0,0,0,0,0
policeman-tools_forbidden-apis,0,14,1,0,15
SpongePowered_Artemis,0,0,0,0,0
kohlschuetter_junixsocket,4,113,33,1,151
dpaukov_combinatoricslib,3,3,0,30,36
ReactiveX_RxJavaString,0,1,0,0,1
infiniteautomation_modbus4j,53,115,18,11,197
forge_roaster,24,7,11,595,637
unitsofmeasurement_unit-ri,25,91,0,9,125
kite-sdk_kite-examples,0,4,0,0,4
Haehnchen_idea-php-shopware-plugin,0,55,1,0,56
matrix-org_matrix-android-sdk,0,294,51,0,345
ConnectSDK_Connect-SDK-Android-Core,0,515,26,0,541
crosswalk-project_crosswalk-cordova-android,0,61,8,0,69
YasuOza_HBFav-Android,0,25,1,0,26
mongobee_mongobee,11,6,0,0,17
rahulkumar2048_Performance-Tweaker,0,1,0,0,1
PayPal_SeLion,5,257,22,34,318
Netflix_suro,0,469,7,0,476
takahi-i_likelike,7,26,2,0,35
spring-projects_spring-data-keyvalue,0,14,1,0,15
h3xstream_http-script-generator,0,18,1,0,19
jbox2d_jbox2d,0,442,77,0,519
matlux_jvm-breakglass,0,13,0,0,13
xvik_dropwizard-guicey,0,163,11,0,174
nitram509_jmacaroons,9,10,0,47,66
dashbuilder_dashbuilder,109,242,47,340,738
EdwardRaff_JSAT,0,142,82,2,226
3breadt_dd-plist,18,45,1,0,64
lsds_SEEP,0,40,24,0,64
liveoak-io_liveoak,239,233,114,475,1061
twotoasters_SectionCursorAdapter,0,6,0,0,6
coinbase_coinbase-java,0,54,2,0,56
DroidPlanner_3DRServices,0,2340,37,0,2377
nathantippy_jFASTStages,0,3233,104,0,3337
oldratlee_classloader-playground,1,18,0,0,19
arnohaase_a-base,0,20,7,0,27
NLPchina_ansj_seg,71,81,7,57,216
CompEvol_beast2,0,229,24,21,274
lyogavin_Pistachio,7,127,3,14,151
classmethod_cmtest,0,0,0,0,0
greenrobot_greenrobot-common,0,23,0,0,23
jodastephen_property-alliance,0,2,0,4,6
JeffreyFalgout_ThrowingStream,0,9,7,0,16
kzwang_elasticsearch-image,1,10,0,6,17
atinfo_at.info-knowledge-base,0,24,0,1,25
Clashsoft_Dyvil,0,689,214,1,904
LapisBlue_Pore,11,249,48,0,308
google_error-prone,46,782,76,903,1807
lemire_RoaringBitmap,0,97,14,0,111
kaazing_robot,264,528,49,136,977
ehcache_ehcache3,1,321,202,1,525
cognitect_transit-java,8,56,4,48,116
raydac_java-binary-block-parser,71,62,27,566,726
CalebFenton_simplify,0,108,25,1,134
freenet_plugin-WebOfTrust,0,865,59,16,940
sinkillerj_ProjectE,0,375,28,0,403
freenet_plugin-Freetalk,0,681,68,18,767
ATLauncher_ATLauncher,0,230,76,0,306
AChep_HeadsUp,0,155,7,0,162
shamanland_xdroid,0,9,0,0,9
xtreemfs_xtreemfs,0,455,181,2,638
sanjivsingh_stackoverflow-java-sdk,1,110,15,167,293
groupon_jesos,0,592,2,0,594
iainporter_oauth2-provider,0,0,4,0,4
lejon_T-SNE-Java,28,1,2,0,31
mrmans0n_smart-location-lib,0,26,0,0,26
lestard_advanced-bindings,0,2,0,0,2
